#ST-Typ;Wert;Beschreibung
ST_BeginnEntgeltumwandlung;1;Nicht Zeitversetzt. Beginn der Entgeltumwandlung im Monat der Beitragszahlung.
ST_BeginnEntgeltumwandlung;2;Zeitversetzt. Beginn der Entgeltumwandlung im Monat vor der Beitragszahlung.
ST_Beihilfestatus;1;Beihilfeberechtigter
ST_Beihilfestatus;2;Berücksichtigungsfähiger Ehegatte
ST_Beihilfestatus;3;Berücksichtigungsfähiges Kind
ST_Beihilfestatus;4;Versorgungsempfänger
ST_Beihilfestatus;5;Waise / Halbwaise
ST_Beihilfestatus;6;Freie Heilfürsorge
ST_Beihilfetraeger;BB;Brandenburg
ST_Beihilfetraeger;BLO;Berlin Ost
ST_Beihilfetraeger;BLW;Berlin West
ST_Beihilfetraeger;BR;Bremen
ST_Beihilfetraeger;BW;Baden-Wuerttemberg
ST_Beihilfetraeger;BY;Bayern
ST_Beihilfetraeger;DP;Post
ST_Beihilfetraeger;HBG;Hamburg
ST_Beihilfetraeger;HES;Hessen
ST_Beihilfetraeger;KVB;Bundesbahn
ST_Beihilfetraeger;MV;Mecklenburg / Vorpommern
ST_Beihilfetraeger;NDS;Niedersachsen
ST_Beihilfetraeger;NW;Nordrhein-Westfalen
ST_Beihilfetraeger;RP;Rheinland-Pfalz
ST_Beihilfetraeger;SA;Sachsen-Anhalt
ST_Beihilfetraeger;SC;Sachsen
ST_Beihilfetraeger;SH;Schleswig-Holstein
ST_Beihilfetraeger;SL;Saarland
ST_Beihilfetraeger;SO;Sonstige
ST_Beihilfetraeger;TH;Thueringen
ST_Beihilfetraeger;BDO;Bund Ost
ST_Beihilfetraeger;BDW;Bund West
ST_Beitragsrueckgewaehr;01;vor Rentenbeginn
ST_Beitragsrueckgewaehr;02;nach Rentenbeginn
ST_Beitragsrueckgewaehr;03;vor und nach Rentenbeginn
ST_Berechnungseinheit;10;Prozent
ST_Berechnungseinheit;11;Promille
ST_Berechnungseinheit;15;Faktor
ST_Berechnungseinheit;20;Waehrung gem. Waehrunsschluessel
ST_Berechnungseinheit;21;Mark 1914
ST_BerechnungseinheitHaftpflicht;001;Personen, Person
ST_BerechnungseinheitHaftpflicht;002;Lohn-/Gehaltssumme
ST_BerechnungseinheitHaftpflicht;003;Umsatz
ST_BerechnungseinheitHaftpflicht;004;Anlagen, Anlage
ST_BerechnungseinheitHaftpflicht;005;Strahler
ST_BerechnungseinheitHaftpflicht;006;Bausumme
ST_BerechnungseinheitHaftpflicht;007;Beitrag
ST_BerechnungseinheitHaftpflicht;008;Tanks, Tank
ST_BerechnungseinheitHaftpflicht;010;Apparate, Apparat
ST_BerechnungseinheitHaftpflicht;011;Megawatt / H
ST_BerechnungseinheitHaftpflicht;012;km Laenge
ST_BerechnungseinheitHaftpflicht;014;Anschluesse, Anschluss
ST_BerechnungseinheitHaftpflicht;015;CBM
ST_BerechnungseinheitHaftpflicht;016;CBM Inhalt
ST_BerechnungseinheitHaftpflicht;017;Schlachtungen, Schlachtung
ST_BerechnungseinheitHaftpflicht;018;Faecher, Fach
ST_BerechnungseinheitHaftpflicht;019;Agenturen, Agentur
ST_BerechnungseinheitHaftpflicht;020;Hetar (tariflich)
ST_BerechnungseinheitHaftpflicht;021;Hektar
ST_BerechnungseinheitHaftpflicht;022;Spritzen, Spritze
ST_BerechnungseinheitHaftpflicht;023;Tiere, Tier
ST_BerechnungseinheitHaftpflicht;024;Raeume, Raum
ST_BerechnungseinheitHaftpflicht;025;Versicherungssumme
ST_BerechnungseinheitHaftpflicht;026;Geraete, Geraet
ST_BerechnungseinheitHaftpflicht;027;Pferde, Pferd
ST_BerechnungseinheitHaftpflicht;028;Bahnen, Bahn
ST_BerechnungseinheitHaftpflicht;029;Betten, Bett
ST_BerechnungseinheitHaftpflicht;030;Ponys, Pony
ST_BerechnungseinheitHaftpflicht;031;Hengste, Hengst
ST_BerechnungseinheitHaftpflicht;032;Stiere, Stier
ST_BerechnungseinheitHaftpflicht;033;Hunde, Hund
ST_BerechnungseinheitHaftpflicht;034;Voelker, Volk
ST_BerechnungseinheitHaftpflicht;035;Schafe, Schaf
ST_BerechnungseinheitHaftpflicht;036;Bagger
ST_BerechnungseinheitHaftpflicht;038;Honorar
ST_BerechnungseinheitHaftpflicht;039;Zimmer
ST_BerechnungseinheitHaftpflicht;040;Fremdenzimmer
ST_BerechnungseinheitHaftpflicht;041;Schiess-Staende, Schiess-Stand
ST_BerechnungseinheitHaftpflicht;043;Bloecke, Block
ST_BerechnungseinheitHaftpflicht;044;Plaetze, Platz
ST_BerechnungseinheitHaftpflicht;046;Saele, Saal
ST_BerechnungseinheitHaftpflicht;047;Wirtschaften, Wirtschaft
ST_BerechnungseinheitHaftpflicht;048;qm Flaeche
ST_BerechnungseinheitHaftpflicht;049;Lenker
ST_BerechnungseinheitHaftpflicht;050;qm
ST_BerechnungseinheitHaftpflicht;051;KFZ
ST_BerechnungseinheitHaftpflicht;052;Automaten, Automat
ST_BerechnungseinheitHaftpflicht;054;Spielfelder, Spielfeld
ST_BerechnungseinheitHaftpflicht;055;Einstellplaetze, Einstellplatz
ST_BerechnungseinheitHaftpflicht;056;Saeuglinge, Saeugling
ST_BerechnungseinheitHaftpflicht;057;Schwestern, Schwester
ST_BerechnungseinheitHaftpflicht;059;Probanden, Proband
ST_BerechnungseinheitHaftpflicht;060;Besucher
ST_BerechnungseinheitHaftpflicht;061;Badeeinrichtungen, Badeeinrichtung
ST_BerechnungseinheitHaftpflicht;062;Fahrzeuge, Fahrzeug
ST_BerechnungseinheitHaftpflicht;063;m Frontlaenge
ST_BerechnungseinheitHaftpflicht;064;Wagen
ST_BerechnungseinheitHaftpflicht;065;Uebergaenge, Uebergang
ST_BerechnungseinheitHaftpflicht;066;Kreuzungen, Kreuzung
ST_BerechnungseinheitHaftpflicht;068;Waagen, Waage
ST_BerechnungseinheitHaftpflicht;070;Wagen / Container
ST_BerechnungseinheitHaftpflicht;071;Einnahmen
ST_BerechnungseinheitHaftpflicht;072;KFZ / Geraete, KFZ / Geraet
ST_BerechnungseinheitHaftpflicht;073;Kraene, Kran
ST_BerechnungseinheitHaftpflicht;074;Winden, Winde
ST_BerechnungseinheitHaftpflicht;075;Vorrichtungen, Vorrichtung
ST_BerechnungseinheitHaftpflicht;076;Teilnehmer
ST_BerechnungseinheitHaftpflicht;077;Tafeln, Tafel
ST_BerechnungseinheitHaftpflicht;078;Saeulen, Saeule
ST_BerechnungseinheitHaftpflicht;079;Abonnenten, Abonnent
ST_BerechnungseinheitHaftpflicht;080;KFZ-Einstellplaetze, KFZ-Einstellplatz
ST_BerechnungseinheitHaftpflicht;081;Einstellplaetze fuer Fahrraeder, Einstellplatz fuer Fahrrad
ST_BerechnungseinheitHaftpflicht;082;Schliessfaecher, Schliessfach
ST_BerechnungseinheitHaftpflicht;083;Zapfstellen, Zapfstelle
ST_BerechnungseinheitHaftpflicht;084;Aufbewahrungsscheine, Aufbewahrungsschein
ST_BerechnungseinheitHaftpflicht;085;Mitglieder, Mitglied
ST_BerechnungseinheitHaftpflicht;086;Boote, Boot
ST_BerechnungseinheitHaftpflicht;087;qm Segelflaeche
ST_BerechnungseinheitHaftpflicht;088;m Bahnlaenge
ST_BerechnungseinheitHaftpflicht;089;Schanzen, Schanze
ST_BerechnungseinheitHaftpflicht;091;Kinder, Kind
ST_BerechnungseinheitHaftpflicht;092;Schuetzen, Schuetze
ST_BerechnungseinheitHaftpflicht;093;Tiere / Boote / Geraete, Tier / Boot / Geraet
ST_BerechnungseinheitHaftpflicht;094;Reiter
ST_BerechnungseinheitHaftpflicht;095;Aussteller
ST_BerechnungseinheitHaftpflicht;096;Teilnehmer / Besucher
ST_BerechnungseinheitHaftpflicht;097;Boeller
ST_BerechnungseinheitHaftpflicht;099;Mietwert
ST_BerechnungseinheitHaftpflicht;100;Wohnungen, Wohnung
ST_BerechnungseinheitHaftpflicht;101;Grundstuecke, Grundstueck
ST_BerechnungseinheitHaftpflicht;102;m Strassenfront
ST_BerechnungseinheitHaftpflicht;103;Mieter
ST_BerechnungseinheitHaftpflicht;104;Garagen, Garage
ST_BerechnungseinheitHaftpflicht;105;Pacht-/Mietwert
ST_BerechnungseinheitHaftpflicht;107;Aerzte, Arzt
ST_BerechnungseinheitHaftpflicht;108;Besamungen, Besamung
ST_BerechnungseinheitHaftpflicht;109;qm Stallungen, qm Stallung
ST_BerechnungseinheitHaftpflicht;110;Lehrer
ST_BerechnungseinheitHaftpflicht;111;Schueler
ST_BerechnungseinheitHaftpflicht;112;Jagdscheine, Jagdschein
ST_BerechnungseinheitHaftpflicht;113;km Strassenlaenge
ST_BerechnungseinheitHaftpflicht;115;Einwohner
ST_BerechnungseinheitHaftpflicht;116;Schiffe, Schiff
ST_BerechnungseinheitHaftpflicht;117;Schlepper
ST_BerechnungseinheitHaftpflicht;118;PS
ST_BerechnungseinheitHaftpflicht;120;BRT
ST_BerechnungseinheitHaftpflicht;121;kw
ST_BerechnungseinheitHaftpflicht;122;Versicherungen, Versicherung
ST_BerechnungseinheitHaftpflicht;123;Warenumsatz
ST_BerechnungseinheitHaftpflicht;124;Betriebsorte, Betriebsort
ST_BerechnungseinheitHaftpflicht;126;Staelle, Stall
ST_BerechnungseinheitHaftpflicht;127;GJ/H
ST_BerechnungseinheitHaftpflicht;128;Hilfspersonen, Hilfsperson
ST_BerechnungseinheitHaftpflicht;129;Maschinen, Maschine
ST_BerechnungseinheitHaftpflicht;999;Sonstige
ST_Berechnungsgrundlage;0;Einzel
ST_Berechnungsgrundlage;1;Gruppe
ST_Berechnungsgrundlage;2;Mitarbeiter
ST_BeschaedigungKfz;01;Frontscheibe
ST_BeschaedigungKfz;02;Seitenscheibe
ST_BeschaedigungKfz;03;Heckscheibe
ST_BeschaedigungKfz;04;Scheinwerfer
ST_BeschaedigungKfz;05;Heckleuchte
ST_BeschaedigungKfz;06;Spiegel
ST_BeschaedigungKfz;07;Blinker
ST_Beschaeftigtentyp;01;Vollzeitmitarbeiter
ST_Beschaeftigtentyp;02;Teilzeitmitarbeiter
ST_Beschaeftigtentyp;03;Aushilfe
ST_Beschaeftigtentyp;04;Geringfügig Beschäftigter
ST_Beschaeftigtentyp;05;Familienangehöriger
ST_Beschaeftigtentyp;06;Auszubildender
ST_Beschaeftigtentyp;07;Unentgeltlich
ST_Beschaeftigtentyp;08;Saisonkraft
ST_Beschaeftigtentyp;09;Heimarbeiter
ST_Beschaeftigtentyp;10;Leiharbeiter
ST_Besitzverhaeltnis;1;Leihe
ST_Besitzverhaeltnis;2;Miete
ST_Besitzverhaeltnis;3;Pacht
ST_Besitzverhaeltnis;4;Verwahrung
ST_Besitzverhaeltnis;5;Leasing
ST_Besitzverhaeltnis;6;verbotene Eigenmacht / Diebstahl
ST_Besitzverhaeltnis;99;Sonstiges
ST_BesondererVerwendungszweck;1;Hypothekentilgung
ST_BesondererVerwendungszweck;2;Vermögenswirksame Leistung
ST_BesondererVerwendungszweck;3;Restschuldversicherung
ST_BesondererVerwendungszweck;9;sonstiges
ST_Betriebsstaette;Hauptbetrieb;
ST_Betriebsstaette;Nebenbetrieb;
ST_Betriebsstaette;Filiale;
ST_Bewegungsrisiko;0;nein
ST_Bewegungsrisiko;1;innerhalb des Versicherungsgrundstücks
ST_Bewegungsrisiko;2;außerhalb des Versicherungsgrundstücks
ST_Bewertungsschluessel;1;DAT-EDV-Code
ST_Bewertungsschluessel;2;Schwacke-Schlüssel-Nr.
ST_Bewertungsschluessel;9;Sonstige
ST_Bezugsrecht;1;Versicherungsnehmer
ST_Bezugsrecht;2;Versicherte Person
ST_Bezugsrecht;3;Ehepartner zum Zeitpunkt des Leistungsfalls
ST_Bezugsrecht;4;mitversicherte Person
ST_Bezugsrecht;5;gesetzliche Erbfolge
ST_Bezugsrecht;6;Reihenfolge: Ehegatte, Kinder, Eltern, Erben
ST_Bezugsrecht;7;Leistungsberechtigte im Sinne des § 10 Abs.1, Nr. 2b EStG (Rürup-Rente)
ST_Bezugsrecht;9;individuell
ST_Bezugsrecht;10;Lebensgefährte
ST_Bezugsrecht;11;Kinder
ST_Bezugsrecht;12;§32 EStG (enger Hinterbliebenenbegriff gemäß BMF-Schreiben 31.03.10)
ST_BootMotorlage;01;Außenborder
ST_BootMotorlage;02;Innenborder
ST_Brandloeschart;1;Wasser
ST_Brandloeschart;2;Halon
ST_Brandloeschart;3;CO2
ST_Brandloeschart;4;Feuerlöscher
ST_Brandloeschart;9;Sonstiges
ST_BruttoNetto;Brutto;
ST_BruttoNetto;Netto;
ST_BUStaffel;0;default
ST_BUStaffel;1;50/50
ST_BUStaffel;2;25/75
ST_BUStaffel;3;33/66
ST_BUStaffel;9;siehe Besondere Vereinbarungen
ST_Dachart;01;Flachdach
ST_Dachart;02;Giebeldach
ST_Dachart;99;sonstiges
ST_Dateiformat;pdf;pdf
ST_Dateiformat;xml;xml
ST_Dateiformat;doc;doc
ST_Dateityp;Dokument;Dokument
ST_Dateityp;Nettodaten;Nettodaten
ST_DatenschutzerklaerungKenntnisnahme;Aushaendigung;
ST_DatenschutzerklaerungKenntnisnahme;Einsicht;
ST_Dauer;bisTodVP;
ST_Dauer;bisVertragsende;
ST_Dauer;unbekannt;
ST_Dauer;unbegrenzt;
ST_DeckungsartKU;1;Insassenversicherung nach dem Pauschalsystem außer WKZ 001, 002, 003, 005, 012, 018, 022, 028, 760, 761, 765, 766
ST_DeckungsartKU;2;Insassenversicherung nach dem Platzsystem außer WKZ 001, 002, 003, 005, 012, 018, 022, 028, 760, 761, 765, 766
ST_DeckungsartKU;3;Insassenversicherung nach dem Pauschalsystem für WKZ 001, 002, 003, 005, 012, 018, 022, 028, 760, 761, 765, 766
ST_DeckungsartKU;4;Berufs- und Beifahrerversicherung unter Ausschluss der Kraftradbenutzung
ST_DeckungsartKU;5;Berufs- und Beifahrerversicherung mit Einschluss der Kraftradbenutzung
ST_DeckungsartKU;9;Namentliche Unfallversicherung
ST_DenkmalschutzUmfang;01;Gesamtes Gebäude
ST_DenkmalschutzUmfang;02;Dach
ST_DenkmalschutzUmfang;03;Fassade
ST_DenkmalschutzUmfang;04;Fenster
ST_DenkmalschutzUmfang;05;Haustür
ST_DenkmalschutzUmfang;06;Innenliegende Gebäudeteile
ST_DokumentartID;A-Bescheinigung;Agrarier-Bescheinigung
ST_DokumentartID;Ablehnungsschreiben;
ST_DokumentartID;Abnahmebestaetigung;
ST_DokumentartID;Abrechnung;Kennzeichnet Abrechnungsdokumente
ST_DokumentartID;Abtretungserklaerung;
ST_DokumentartID;Aenderungsantrag;Antrag eines Service Consumers zur Änderung von Informationen (z.B. zu einem Partner oder Vertrag) beim Service Provider.
ST_DokumentartID;Angebot;
ST_DokumentartID;Angebotsanforderung;Angebotsanforderung=Formular für die Aufforderung zur Abgabe eines verbindlichen Angebotes im Sinne des Invitatiomodells
ST_DokumentartID;Annahmebestaetigung;
ST_DokumentartID;Anschaffungsbeleg;
ST_DokumentartID;Anschreiben;
ST_DokumentartID;Anschuldigungsschrift;
ST_DokumentartID;Antrag;Versicherungsantrag ohne der nach VVG und VVG-Infoverordnung relevanten Informationen sowie ohne den Allgemeinen und Besonderen Bedingungen und Klauseln
ST_DokumentartID;AntragAufZahlungAVWL;Antrag auf Zahlung AVWL
ST_DokumentartID;AntragFondswechsel;Antragsformular für einen Fondswechsel.
ST_DokumentartID;AntragVVG;VVG-konformer Versicherungsantrag inkl. der nach VVG und VVG-Infoverordnung relevanten Informationen sowie den Allgemeinen und Besonderen edingungen inkl. Klauseln
ST_DokumentartID;AntragZuzahlung;Formular für die Zuzahlung zu einem bestehenden Vertrag
ST_DokumentartID;Arbeitsnachweis;
ST_DokumentartID;Arztbericht;
ST_DokumentartID;Attest;
ST_DokumentartID;Auftrag;
ST_DokumentartID;AussergerichtlicheKorrespondenz;AussergerichtlicheKorrespondenz
ST_DokumentartID;AVB;
ST_DokumentartID;AZV-Belehrung;Anzeigepflichtverletzung-Belehrung
ST_DokumentartID;B-Bescheinigung;Beamten-Bescheinigung
ST_DokumentartID;bAVUebertrag;Formular für die Übertragung einer bAV im Rahmen des Übertragungsabkommens (bAV)
ST_DokumentartID;BeitragsbescheinigungFuerFinanzamt;Beitragsbescheinigung nach Norm ??? Vorschrift Finanzamt
ST_DokumentartID;Beratungsprotokoll;Dokument, dass die Beratung protokolliert.
ST_DokumentartID;Berufung;
ST_DokumentartID;BescheinigungAblaufleistung;Bescheinigung über die Ablaufleistung des Vertrags. Mögliche Inhalte: garantierte Werte (Kapital oder Rente), Werte inklusive angenommener Überschussbeteiligung, Werte zu Beginn der Abrufphase (Tarife mit Abrufoption), Hochrechnung mit gleichmäßiger Wertsteigerung (Investment), Hochrechnung inklusive Überschüsse (Riester).
ST_DokumentartID;BescheinigungBeitraegeBisRueckkauf;Bescheinigung über die bis zum Rückkauf eingezahlten Beiträge gemäß § 20 Abs. 2 Nr. 6 EStG
ST_DokumentartID;BescheinigungFuerArbeitsagentur;Information für die Agentur für Arbeit (Jobcenter) über Vertragswert (Rückkaufswert), eingezahlte Beiträge, Beginn und Ablauf/ Rentenbeginn, Ablauf Beitragszahlung, aktueller Beitrag, beitragsfreie Summe gemäß § 60 SGB II.
ST_DokumentartID;BescheinigungFuerBAfoeGAmt;Bescheinigung zur Vorlage beim Amt für Ausbildungsförderung. Mögliche Inhalte: Altersvorsorgebeitrag, Rückkaufswert, Rentenleistungen und Art und Umfang der Krankenversicherung.
ST_DokumentartID;BescheinigungFuerSozialamt;Bescheinigung zur Vorlage beim Sozialamt: Mögliche Inhalte: Altersvorsorgebeitrag, Rückkaufswert und Rentenleistungen.
ST_DokumentartID;BescheinigungRueckkaufswert;Bescheinigung über den Rückkaufswert des Vertrags zum angegebenen Stichtag. Mögliche Inhalte: garantierter Rückkaufswert, Überschüsse, Mindestbeteiligung an den Bewertungsreserven, Kapitalertragssteuer (inkl. Soli).
ST_DokumentartID;BescheinigungSteuerschaedlicheVerwendungRiester;Bescheinigung über die einbehaltenen und abgeführten Beträge im Rahmen einer steuerschädlichen Verwendung von Riester gemäß § 94 Abs. 1 Satz 4 und § 95 Abs. 1 EStG.
ST_DokumentartID;BesondereBedingungen;Kontextspezifische Bedingungen, die über die allgemeinen Vertragsbedingungen hinaus gehen.
ST_DokumentartID;Beweisbeschluss;
ST_DokumentartID;Datenschutzerklaerung;Bestimmungen zur Speicherung und Verarbeitung sowie der Weitergabe von Daten gem gesetzlichen Datenschutzgesetz
ST_DokumentartID;Deckungsnote;
ST_DokumentartID;EigenerSchriftsatz;
ST_DokumentartID;Eingangsbestaetigung;Bestätigung durch den Service Provider, dass der Request von Service Consumer fehlerfrei empfangen wurde.
ST_DokumentartID;EinwilligungZurUebermittlungBeiBeamten;Einwilligung zur Übermittlung bei Beamten.
ST_DokumentartID;EmpfangsbestaetigungVVGDokumente;
ST_DokumentartID;EntnahmeAntrag;Antrag über die Entnahme von Fonds aus dem Vertrag, die zu einem bestimmten Stichtag verkauft werden.
ST_DokumentartID;Erinnerung;
ST_DokumentartID;Ermittlungsakte;
ST_DokumentartID;Ersatzpolice;Neue Police, d.h. neue Inhaberurkunde
ST_DokumentartID;Ersatzsteuerbescheinigung;Ersatzbescheinigung über die Kapitalerträge und die dafür bereits abgeführten Steuern eines Kalenderjahres gemäß § 45a Abs. 5 EStG
ST_DokumentartID;EWSEE;Einwilligungs- / Schweigepflichtentbindungserklärung
ST_DokumentartID;Fahrzeugbewertung;
ST_DokumentartID;FATCA;FATCA-Fragebogen für natürliche oder juristische Personen
ST_DokumentartID;FestsetzungsantragZulagen;Antragsformular für die Korrektur bzw. Festsetzung der Zulage gemäß § 90 Abs. 4 EStG
ST_DokumentartID;Fondsuebersicht;Aktuelle Übersicht der Fonds, in die investiert werden kann
ST_DokumentartID;Forderungsschreiben;
ST_DokumentartID;Foto;
ST_DokumentartID;Fragebogen;
ST_DokumentartID;Freistellungsauftrag;Freistellungsauftrag für Kapitalerträge und Antrag auf ehegattenübergreifende/lebenspartnerübergreifende Verlustverrechnung
ST_DokumentartID;Freistellungsbescheinigung;
ST_DokumentartID;Fuehrerscheinkopie;Elektronische Kopie eines Führerscheins
ST_DokumentartID;GerichtlicheVerfuegung;
ST_DokumentartID;Gutachten;
ST_DokumentartID;Handlungsanweisung;
ST_DokumentartID;Identifikation;Formular zur Unterschriftenprobe/Identifikation (getDocument) bzw. Kopie des Ausweises (Request setChange)
ST_DokumentartID;InfoMeldungAnZfA;Information über die Übermittlung von Daten an die ZfA (z.B. Rentenbezüge, geleistete Beiträge) gemäß § 22a EStG
ST_DokumentartID;InternesDokumentFuerVermittler;
ST_DokumentartID;Jahressteuerbescheinigung;Bescheinigung über die Kapitalerträge und die dafür bereits abgeführten Steuern eines Kalenderjahres gemäß § 45a Abs. 2 und 3 EStG
ST_DokumentartID;JahresbescheinigungBasisRente;Bescheinigung über die Höhe der geleisteten Beiträge für das jeweilige Kalenderjahr gemäß § 10 Abs. 2 Buchstabe a EStG
ST_DokumentartID;JahresbescheinigungRiester;Bescheinigung über Altersvorsorgebeiträge, Zulagen, Stand des Altersvorsorgevermögens und Stand des Wohnförderkontos gemäß § 92 EStG
ST_DokumentartID;Jahresinformation;Information des Versicherers an den Versicherungsnehmer gemäß § 155 VVG über den Wertstand des Vertrags mit Werten zum vorgegebenen Stichtag. Dies kann auch die Kopie der Jahresinformation des letzten Jahres sein.
ST_DokumentartID;Klage;
ST_DokumentartID;Klauseln;Vertraglich vereinbarte Klausen, die die Bedingungen abändern oder ergänzen.
ST_DokumentartID;Kompaktvorschlag;Werbliche Übersicht über ein Produkt, die versicherten Leistungen und die entsprechenden Beiträge in Kurzform. Häufig auch Datenblatt genannt.
ST_DokumentartID;Kostenuebernahmeerklaerung;
ST_DokumentartID;Kostenvoranschlag;
ST_DokumentartID;Messprotokoll;
ST_DokumentartID;Nachtrag;Dokumentierung einer Änderung zu einem Vertrag
ST_DokumentartID;Nachversichererbescheinigung;Nachversichererbescheinigung zur Vorlage beim Vorversicherer.
ST_DokumentartID;PiB;Produktinformationsblatt
ST_DokumentartID;PiBVI;Produktinformationsblatt inkl. Vertragsinformationen
ST_DokumentartID;Police;
ST_DokumentartID;Prospekt;Werblich aufbereitete Erläuterung zum Produkt.
ST_DokumentartID;Protokoll;
ST_DokumentartID;Pruefbericht;
ST_DokumentartID;PruefungGWG;Formulare zur GwG Überprüfung des Kunden (juristische oder natürliche Person)
ST_DokumentartID;Rechnung;
ST_DokumentartID;Reparaturbestaetigung;
ST_DokumentartID;RiesterwechselFormular;Riesterwechsel-Formular
ST_DokumentartID;Risikoanalyse;Fragebogen zur Analyse der zu versichernden Risiken je Sparten
ST_DokumentartID;Risikofragebogen;Fragebogen zur Erfassung von risikorelevanten Informationen über juristisch eindeutig und im Klartext formulierte Fragen.
ST_DokumentartID;RuecknahmeAenderung;Formular zur Rücknahme einer Änderung, z.B. Beitragsreduzierung, Kündigung, Beitragsfreistellung
ST_DokumentartID;Schadenerledigung;
ST_DokumentartID;Schadenmeldung;
ST_DokumentartID;SchriftsatzDerGegenseite;
ST_DokumentartID;SEPAMandatAntrag;Formular zur Beantragung eines SEPA-Mandats
ST_DokumentartID;SEPAMandatKopie;Kopie eines (unterschriebenen) SEPA-Mandats
ST_DokumentartID;SEPANotifikation;SEPA-PreNotifikationsschreiben
ST_DokumentartID;SFR-Uebertragungsformular;Formular zur Übertragung des Schadenfreiheitsrabatts
ST_DokumentartID;SonstigesDokument;
ST_DokumentartID;Stehlgutliste;Liste gestohlener Gegenstände bzw. Güter.
ST_DokumentartID;UnterlagenZurSchadenhoehe;
ST_DokumentartID;Unterschriftenblatt;Ein standardisiertes Dokument zur Abgabe einer Willenserklärung per Unterschrift
ST_DokumentartID;Urteil;
ST_DokumentartID;Vergleich;
ST_DokumentartID;Verlustbescheinigung;Bescheinigung über die Höhe der nicht ausgeglichenen Verluste gemäß § 43a Abs. 3 Satz 4 EStG
ST_DokumentartID;Verlusterklaerung;Bei Kündigung oder bei Nichtauffinden des original Versicherungsscheines wird eine Verlusterklärung an den VN gesendet.
ST_DokumentartID;Versicherungsbestaetigung;
ST_DokumentartID;VersorgungsausgleichInformation;Information für das Familiengericht über Ehezeit, Ehezeitanteil und Ausgleichswert gemäß § 5 VersAusglG
ST_DokumentartID;Vertrag;
ST_DokumentartID;Verwertungsausschluss;Formular zum Schutz vor Pfändung bzw. Insolvenz
ST_DokumentartID;VI;Vertragsinformationen
ST_DokumentartID;Video;
ST_DokumentartID;Vollmacht;Dokument zur Erteilung einer Vollmacht
ST_DokumentartID;VollstreckbarerTitel;
ST_DokumentartID;Vorladung;
ST_DokumentartID;VorlaeufigeDeckung;
ST_DokumentartID;Vorschlag;Versicherungsvorschlag ohne der nach VVG und VVG-Infoverordnung relevanten Informationen sowie ohne den Allgemeinen und Besonderen Bedingungen und Klauseln
ST_DokumentartID;VorschlagVVG;VVG-konformer Versicherungsvorschlag inkl. der nach VVG und VVG-Infoverordnung relevanten Informationen sowie den Allgemeinen und Besonderen Bedingungen inkl. Klauseln
ST_DokumentartID;VZR-Bescheinigung;Bescheinigung des Verkehrszentralregisters
ST_DokumentartID;WechselVertragspartner;Formular für die Änderung von Vertragspartnern
ST_DokumentartID;Widerrufsbelehrung;
ST_DokumentartID;Zahlungsbestaetigung;
ST_DokumentartID;Zeugenbericht;
ST_DokumentartID;Zulagenantrag;Formular zur Beantragung von Zulagen gemäß § 89 Abs. 1 EStG
ST_DokumentartID;Zulassungsbescheinigung;Elektronische Kopie des Fahrzeugscheins oder -briefs
ST_DokumentartID;Zweitschrift;Beglaubigte Kopie eines Originaldokuments
ST_Drittrecht;01;Abtretung
ST_Drittrecht;02;Verpfändung
ST_Drittrecht;03;Pfändung
ST_Drittrecht;04;Konkurs
ST_Drittrecht;05;Vergleich
ST_Durchfuehrungsweg;Direktversicherung;
ST_Durchfuehrungsweg;Pensionsfonds;
ST_Durchfuehrungsweg;Pensionskasse;
ST_Durchfuehrungsweg;Pensionszusage;
ST_Durchfuehrungsweg;PrivateRiesterversicherung;
ST_Durchfuehrungsweg;Unterstuetzungskasse;
ST_Durchfuehrungsweg;Privat;
ST_Durchfuehrungsweg;Riesterdirektversicherung;
ST_DynamikKategorieID;Beitrag;<<Beitragsdynamik>> Hierbei wird die Dynamik auf den Beitrag gerechnet
ST_DynamikKategorieID;Leistung;<<Leistungsdynamik>> Hierbei wird die Dynamik auf die Leistung (z.B. Versicherungssumme) gerechnet.
ST_DynamikKategorieID;BeitragUndLeistung;<<Beitrags- und Leistungsdynamik>> Regelmaessige Erhoehung der Beitraege bei gleichzeitiger Erhoehung der Leistungen im gleichen Umfang.
ST_DynamikKategorieID;Einzahlungen;Regelmäßige Anpassung (Erhöhung, Verminderung) der Einzahlungen.
ST_Eigenbeitragsart;min;Minimaler Eigenbeitrag bei vollen Zulagen
ST_Eigenbeitragsart;max;Maximaler Eigenbeitrag
ST_Eigenbeitragsart;individuell;Individuell festgelegter Eigenbeitrag
ST_EigenschaftVN;01;Mieter
ST_EigenschaftVN;02;Vermieter
ST_EigenschaftVN;03;Eigentümer
ST_EigenschaftVN;04;Nutzungsberechtigter
ST_EigenschaftVN;05;Arbeitgeber
ST_EigenschaftVN;06;Arbeitnehmer
ST_Eigentumsverhaeltnis;1;Eigentum VN
ST_Eigentumsverhaeltnis;2;Eigentum / Finanzierung
ST_Eigentumsverhaeltnis;3;Leasing
ST_Eigentumsverhaeltnis;4;Mieter
ST_Eigentumsverhaeltnis;5;Pächter
ST_Eigentumsverhaeltnis;6;Niessbrauch
ST_EinbruchmeldeanlageStatus;1;eingeschaltet
ST_EinbruchmeldeanlageStatus;2;nicht eingeschaltet
ST_EinbruchmeldeanlageStatus;3;nicht vorhanden
